ID = 3235, в канале G4, при энергии от 188.048, начиная со спектра S10 G = 0
ID = 3018, в канале G2, при энергии от 30.946, начиная со спектра S9 G = 0
ID = 3664, в канале G4, при энергии от 247.724, начиная со спектра S6 G = 0
ID = 4020, в канале G4, при энергии от 188.048, начиная со спектра S6 G = 0
ID = 3857, в канале G4, при энергии от 188.048, начиная со спектра S23 G = 0
ID = 239, в канале G4, при энергии от 278.447, начиная со спектра S11 G = 0
ID = 3215, в канале G4, при энергии от 188.048, начиная со спектра S6 G = 0
ID = 1019, в канале G4, при энергии от 188.048, начиная со спектра S6 G = 0
ID = 4341, в канале G4, при энергии от 188.048, начиная со спектра S6 G = 0
ID = 1442, в канале G4, при энергии от 188.048, начиная со спектра S6 G = 0
ID = 458, в канале G3, при энергии от 637.318, начиная со спектра S15 G = 0
ID = 148, в канале G3, при энергии от 587.318, начиная со спектра S29 G = 0
ID = 2698, в канале G3, при энергии от 437.318, начиная со спектра S11 G = 0
ID = 3514, в канале G3, при энергии от 327.942, начиная со спектра S22 G = 0
